entry_time,exit_time,side,entry_price,exit_price,reason,pnl,roi,balance
1766968377153.0,1766970945048.0,SHORT,88134.45,87933.95,TRAILING_STOP,18.75843328006245,1.875843328006245,1014.7584332800625
1766973880669.0,1766980718542.0,SHORT,88799.05,90144.0,HARD_STOP_LOSS,-157.81577714219424,-15.552053766340936,852.8836224047479
1767004622139.0,1767005751749.0,SHORT,87941.55,87764.25,TRAILING_STOP,13.790431220431062,1.6169182826548192,863.26251913556
1767018790038.0,1767018827519.0,SHORT,87877.35,87724.45,TRAILING_STOP,11.57307853469888,1.3406209905056163,871.3825475937166
1767018839931.0,1767020099392.0,SHORT,87749.35,87564.45,TRAILING_STOP,14.883048095766949,1.7079809707993134,882.7800654991087
1767190213195.0,1767191102760.0,SHORT,89068.95,88926.05,TRAILING_STOP,10.637647986462925,1.2050167875560922,889.8865932235752
1767191770980.0,1767192093129.0,SHORT,88673.65,88540.05,TRAILING_STOP,9.853277436005383,1.1072509138846915,896.1803242866863
1767192632833.0,1767193912353.0,SHORT,88345.95,88084.75,TRAILING_STOP,22.92197579807509,2.5577414697560794,915.5175787876146
1767193955045.0,1767195136740.0,SHORT,87927.35,87783.95,TRAILING_STOP,11.275003858752335,1.231544223725709,923.1305123312166
1767204595438.0,1767206926649.0,SHORT,87840.05,87707.65,TRAILING_STOP,10.22725245269263,1.1078880305738525,929.6652427345842
